Test Date,Borough,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,year,month
2020-12-21,Brooklyn,988,110327,20288,2859859,2020,12
2020-12-22,Brooklyn,1346,111673,28213,2888072,2020,12
2020-12-23,Brooklyn,1452,113125,29663,2917735,2020,12
2020-12-24,Brooklyn,1177,114302,25299,2943034,2020,12
2020-12-25,Brooklyn,1225,115527,27620,2970654,2020,12
2020-12-26,Brooklyn,856,116383,15330,2985984,2020,12
2020-12-27,Brooklyn,1034,117417,15197,3001181,2020,12
2020-12-28,Brooklyn,1335,118752,23317,3024498,2020,12
2020-12-29,Brooklyn,1456,120208,20606,3045104,2020,12
2020-12-30,Brooklyn,1767,121975,26297,3071401,2020,12
2020-12-31,Brooklyn,1449,123424,24505,3095906,2020,12
2021-01-01,Brooklyn,1385,124809,23897,3119803,2021,1
2021-01-02,Brooklyn,846,125655,16005,3135808,2021,1
2021-01-03,Brooklyn,1028,126683,16433,3152241,2021,1
2021-01-04,Brooklyn,1384,128067,19498,3171739,2021,1
2021-01-05,Brooklyn,1572,129639,22417,3194156,2021,1
2021-01-06,Brooklyn,1858,131497,27980,3222136,2021,1
2021-01-07,Brooklyn,1788,133285,27561,3249697,2021,1
2021-01-08,Brooklyn,1678,134963,30912,3280609,2021,1
2021-01-09,Brooklyn,1522,136485,31661,3312270,2021,1
2021-01-10,Brooklyn,1474,137959,25639,3337909,2021,1
2021-01-11,Brooklyn,1713,139672,25260,3363169,2021,1
2021-01-12,Brooklyn,1863,141535,26897,3390066,2021,1
2021-01-13,Brooklyn,1543,143078,26312,3416378,2021,1
2021-01-14,Brooklyn,2346,145424,41508,3457886,2021,1
2021-01-15,Brooklyn,1828,147252,34529,3492415,2021,1
2021-01-16,Brooklyn,1668,148920,31524,3523939,2021,1
2021-01-17,Brooklyn,1543,150463,24613,3548552,2021,1
2021-01-18,Brooklyn,1510,151973,23319,3571871,2021,1
2021-01-19,Brooklyn,1870,153843,28694,3600565,2021,1
2021-01-20,Brooklyn,1581,155424,25534,3626099,2021,1
2021-01-21,Brooklyn,1836,157260,34873,3660972,2021,1
2021-01-22,Brooklyn,1596,158856,31588,3692560,2021,1
2021-01-23,Brooklyn,1513,160369,31974,3724534,2021,1
2021-01-24,Brooklyn,1595,161964,27854,3752388,2021,1
2021-01-25,Brooklyn,1372,163336,19888,3772276,2021,1
2021-01-26,Brooklyn,1600,164936,28205,3800481,2021,1
2021-01-27,Brooklyn,1831,166767,33526,3834007,2021,1
2021-01-28,Brooklyn,1738,168505,32535,3866542,2021,1
2021-01-29,Brooklyn,1810,170315,34295,3900837,2021,1
2021-01-30,Brooklyn,1521,171836,31525,3932362,2021,1
2021-01-31,Brooklyn,1231,173067,22449,3954811,2021,1
2021-02-01,Brooklyn,1274,174341,20989,3975800,2021,2
2021-02-02,Brooklyn,808,175149,14483,3990283,2021,2
2021-02-03,Brooklyn,990,176139,17610,4007893,2021,2
2021-02-04,Brooklyn,1217,177356,21930,4029823,2021,2
2021-02-05,Brooklyn,1538,178894,30118,4059941,2021,2
2021-02-06,Brooklyn,1456,180350,29899,4089840,2021,2
2021-02-07,Brooklyn,1261,181611,23679,4113519,2021,2
2021-02-08,Brooklyn,1357,182968,18559,4132078,2021,2
2021-02-09,Brooklyn,1026,183994,21307,4153385,2021,2
2021-02-10,Brooklyn,1609,185603,32570,4185955,2021,2
2021-02-11,Brooklyn,1154,186757,31166,4217121,2021,2
2021-02-12,Brooklyn,1315,188072,30357,4247478,2021,2
2021-02-13,Brooklyn,1105,189177,27414,4274892,2021,2
2021-02-14,Brooklyn,961,190138,19665,4294557,2021,2
2021-02-15,Brooklyn,1137,191275,19882,4314439,2021,2
2021-02-16,Brooklyn,965,192240,21613,4336052,2021,2
2021-02-17,Brooklyn,1029,193269,29725,4365777,2021,2
2021-02-18,Brooklyn,1414,194683,29887,4395664,2021,2
2021-02-19,Brooklyn,1274,195957,28792,4424456,2021,2
2021-02-20,Brooklyn,1029,196986,22306,4446762,2021,2
2021-02-21,Brooklyn,947,197933,18765,4465527,2021,2
2021-02-22,Brooklyn,1039,198972,16448,4481975,2021,2
2021-02-23,Brooklyn,1299,200271,33093,4515068,2021,2
2021-02-24,Brooklyn,1311,201582,30725,4545793,2021,2
2021-02-25,Brooklyn,1374,202956,35255,4581048,2021,2
2021-02-26,Brooklyn,1306,204262,33471,4614519,2021,2
2021-02-27,Brooklyn,1134,205396,31529,4646048,2021,2
2021-02-28,Brooklyn,1025,206421,22226,4668274,2021,2
2021-03-01,Brooklyn,966,207387,14684,4682958,2021,3
2021-03-02,Brooklyn,1478,208865,31341,4714299,2021,3
2021-03-03,Brooklyn,1209,210074,31249,4745548,2021,3
2021-03-04,Brooklyn,1439,211513,40837,4786385,2021,3
2021-03-05,Brooklyn,1273,212786,34297,4820682,2021,3
2021-03-06,Brooklyn,1049,213835,23868,4844550,2021,3
2021-03-07,Brooklyn,776,214611,15966,4860516,2021,3
2021-03-08,Brooklyn,1158,215769,27198,4887714,2021,3
2021-03-09,Brooklyn,1066,216835,28091,4915805,2021,3
2021-03-10,Brooklyn,1173,218008,29740,4945545,2021,3
2021-03-11,Brooklyn,1572,219580,35816,4981361,2021,3
2021-03-12,Brooklyn,1109,220689,26066,5007427,2021,3
2021-03-13,Brooklyn,925,221614,21098,5028525,2021,3
2021-03-14,Brooklyn,908,222522,14958,5043483,2021,3
2021-03-15,Brooklyn,1079,223601,21838,5065321,2021,3
2021-03-16,Brooklyn,1711,225312,46316,5111637,2021,3
2021-03-17,Brooklyn,1226,226538,29446,5141083,2021,3
2021-03-18,Brooklyn,1400,227938,33521,5174604,2021,3
2021-03-19,Brooklyn,1075,229013,31215,5205819,2021,3
2021-03-20,Brooklyn,1244,230257,27757,5233576,2021,3
2021-03-21,Brooklyn,950,231207,18730,5252306,2021,3
2021-03-22,Brooklyn,1182,232389,23351,5275657,2021,3
2021-03-23,Brooklyn,1209,233598,28869,5304526,2021,3
2021-03-24,Brooklyn,1318,234916,29788,5334314,2021,3
2021-03-25,Brooklyn,1425,236341,34957,5369271,2021,3
2021-03-26,Brooklyn,1092,237433,27109,5396380,2021,3
2021-03-27,Brooklyn,1547,238980,35139,5431519,2021,3
2021-03-28,Brooklyn,1014,239994,22432,5453951,2021,3
2021-03-29,Brooklyn,920,240914,20616,5474567,2021,3
2021-03-30,Brooklyn,1202,242116,25207,5499774,2021,3
2021-03-31,Brooklyn,1266,243382,28051,5527825,2021,3
2021-04-01,Brooklyn,1113,244495,27592,5555417,2021,4
2021-04-02,Brooklyn,1118,245613,26945,5582362,2021,4
2021-04-03,Brooklyn,1097,246710,24418,5606780,2021,4
2021-04-04,Brooklyn,880,247590,19069,5625849,2021,4
2021-04-05,Brooklyn,985,248575,17879,5643728,2021,4
2021-04-06,Brooklyn,1130,249705,27505,5671233,2021,4
2021-04-07,Brooklyn,1079,250784,31690,5702923,2021,4
2021-04-08,Brooklyn,1369,252153,35206,5738129,2021,4
2021-04-09,Brooklyn,979,253132,33331,5771460,2021,4
2021-04-10,Brooklyn,1006,254138,30267,5801727,2021,4
2021-04-11,Brooklyn,679,254817,15612,5817339,2021,4
2021-04-12,Brooklyn,739,255556,14811,5832150,2021,4
2021-04-13,Brooklyn,1174,256730,31012,5863162,2021,4
2021-04-14,Brooklyn,866,257596,22794,5885956,2021,4
2021-04-15,Brooklyn,1154,258750,32068,5918024,2021,4
2021-04-16,Brooklyn,1367,260117,47155,5965179,2021,4
2021-04-17,Brooklyn,815,260932,28330,5993509,2021,4
2021-04-18,Brooklyn,667,261599,17888,6011397,2021,4
2021-04-19,Brooklyn,576,262175,13823,6025220,2021,4
2021-04-20,Brooklyn,679,262854,25867,6051087,2021,4
2021-04-21,Brooklyn,680,263534,27737,6078824,2021,4
2021-04-22,Brooklyn,780,264314,31263,6110087,2021,4
2021-04-23,Brooklyn,639,264953,29683,6139770,2021,4
2021-04-24,Brooklyn,674,265627,29105,6168875,2021,4
2021-04-25,Brooklyn,469,266096,14811,6183686,2021,4
2021-04-26,Brooklyn,425,266521,12305,6195991,2021,4
2021-04-27,Brooklyn,466,266987,26832,6222823,2021,4
2021-04-28,Brooklyn,535,267522,27431,6250254,2021,4
2021-04-29,Brooklyn,554,268076,25104,6275358,2021,4
2021-04-30,Brooklyn,549,268625,28976,6304334,2021,4
2021-05-01,Brooklyn,458,269083,24301,6328635,2021,5
2021-05-02,Brooklyn,297,269380,12337,6340972,2021,5
2021-05-03,Brooklyn,282,269662,13302,6354274,2021,5
2021-05-04,Brooklyn,372,270034,22288,6376562,2021,5
2021-05-05,Brooklyn,343,270377,24118,6400680,2021,5
2021-05-06,Brooklyn,297,270674,23825,6424505,2021,5
2021-05-07,Brooklyn,413,271087,32297,6456802,2021,5
2021-05-08,Brooklyn,289,271376,22437,6479239,2021,5
2021-05-09,Brooklyn,197,271573,12574,6491813,2021,5
2021-05-10,Brooklyn,165,271738,12608,6504421,2021,5
2021-05-11,Brooklyn,227,271965,28507,6532928,2021,5
2021-05-12,Brooklyn,294,272259,24881,6557809,2021,5
2021-05-13,Brooklyn,249,272508,25254,6583063,2021,5
2021-05-14,Brooklyn,198,272706,23055,6606118,2021,5
2021-05-15,Brooklyn,174,272880,22705,6628823,2021,5
2021-05-16,Brooklyn,159,273039,11680,6640503,2021,5
2021-05-17,Brooklyn,121,273160,11688,6652191,2021,5
2021-05-18,Brooklyn,167,273327,19737,6671928,2021,5
2021-05-19,Brooklyn,154,273481,24618,6696546,2021,5
2021-05-20,Brooklyn,245,273726,25395,6721941,2021,5
2021-05-21,Brooklyn,156,273882,22684,6744625,2021,5
2021-05-22,Brooklyn,154,274036,20407,6765032,2021,5
2021-05-23,Brooklyn,106,274142,10926,6775958,2021,5
2021-05-24,Brooklyn,95,274237,9747,6785705,2021,5
2021-05-25,Brooklyn,104,274341,21992,6807697,2021,5
2021-05-26,Brooklyn,126,274467,23698,6831395,2021,5
2021-05-27,Brooklyn,114,274581,22676,6854071,2021,5
2021-05-28,Brooklyn,81,274662,20011,6874082,2021,5
2021-05-29,Brooklyn,82,274744,18026,6892108,2021,5
2021-05-30,Brooklyn,56,274800,8645,6900753,2021,5
2021-05-31,Brooklyn,53,274853,7516,6908269,2021,5
2021-06-01,Brooklyn,57,274910,16703,6924972,2021,6
2021-06-02,Brooklyn,81,274991,19910,6944882,2021,6
2021-06-03,Brooklyn,102,275093,27291,6972173,2021,6
2021-06-04,Brooklyn,68,275161,16502,6988675,2021,6
2021-06-05,Brooklyn,72,275233,19124,7007799,2021,6
2021-06-06,Brooklyn,38,275271,9250,7017049,2021,6
2021-06-07,Brooklyn,59,275330,9510,7026559,2021,6
2021-06-08,Brooklyn,64,275394,18579,7045138,2021,6
2021-06-09,Brooklyn,83,275477,20623,7065761,2021,6
2021-06-10,Brooklyn,68,275545,18495,7084256,2021,6
2021-06-11,Brooklyn,71,275616,21137,7105393,2021,6
2021-06-12,Brooklyn,43,275659,18068,7123461,2021,6
2021-06-13,Brooklyn,36,275695,8305,7131766,2021,6
2021-06-14,Brooklyn,47,275742,8544,7140310,2021,6
2021-06-15,Brooklyn,54,275796,17933,7158243,2021,6
2021-06-16,Brooklyn,48,275844,19203,7177446,2021,6
2021-06-17,Brooklyn,56,275900,18850,7196296,2021,6
2021-06-18,Brooklyn,47,275947,17847,7214143,2021,6
2021-06-19,Brooklyn,48,275995,15313,7229456,2021,6
2021-06-20,Brooklyn,41,276036,8295,7237751,2021,6
2021-06-21,Brooklyn,38,276074,8156,7245907,2021,6
2021-06-22,Brooklyn,49,276123,16269,7262176,2021,6
2021-06-23,Brooklyn,52,276175,19082,7281258,2021,6
2021-06-24,Brooklyn,57,276232,14710,7295968,2021,6
2021-06-25,Brooklyn,65,276297,15024,7310992,2021,6
2021-06-26,Brooklyn,55,276352,12857,7323849,2021,6
2021-06-27,Brooklyn,43,276395,8379,7332228,2021,6
2021-06-28,Brooklyn,54,276449,7915,7340143,2021,6
2021-06-29,Brooklyn,49,276498,14201,7354344,2021,6
2021-06-30,Brooklyn,70,276568,12483,7366827,2021,6
2021-07-01,Brooklyn,69,276637,11577,7378404,2021,7
2021-07-02,Brooklyn,92,276729,13954,7392358,2021,7
2021-07-03,Brooklyn,62,276791,11080,7403438,2021,7
2021-07-04,Brooklyn,61,276852,8012,7411450,2021,7
2021-07-05,Brooklyn,35,276887,5890,7417340,2021,7
2021-07-06,Brooklyn,84,276971,7885,7425225,2021,7
2021-07-07,Brooklyn,138,277109,16936,7442161,2021,7
2021-07-08,Brooklyn,184,277293,14728,7456889,2021,7
2021-07-09,Brooklyn,119,277412,13321,7470210,2021,7
2021-07-10,Brooklyn,123,277535,12216,7482426,2021,7
2021-07-11,Brooklyn,111,277646,8380,7490806,2021,7
2021-07-12,Brooklyn,107,277753,8838,7499644,2021,7
2021-07-13,Brooklyn,159,277912,13199,7512843,2021,7
2021-07-14,Brooklyn,185,278097,14297,7527140,2021,7
2021-07-15,Brooklyn,208,278305,14977,7542117,2021,7
2021-07-16,Brooklyn,262,278567,13938,7556055,2021,7
2021-07-17,Brooklyn,200,278767,13387,7569442,2021,7
2021-07-18,Brooklyn,141,278908,23240,7592682,2021,7
2021-07-19,Brooklyn,246,279154,13617,7606299,2021,7
2021-07-20,Brooklyn,295,279449,15439,7621738,2021,7
2021-07-21,Brooklyn,301,279750,16599,7638337,2021,7
2021-07-22,Brooklyn,327,280077,16969,7655306,2021,7
2021-07-23,Brooklyn,366,280443,19181,7674487,2021,7
2021-07-24,Brooklyn,357,280800,16809,7691296,2021,7
2021-07-25,Brooklyn,266,281066,10753,7702049,2021,7
2021-07-26,Brooklyn,293,281359,12503,7714552,2021,7
2021-07-27,Brooklyn,447,281806,19858,7734410,2021,7
2021-07-28,Brooklyn,493,282299,20113,7754523,2021,7
2021-07-29,Brooklyn,456,282755,19521,7774044,2021,7
2021-07-30,Brooklyn,528,283283,21162,7795206,2021,7
2021-07-31,Brooklyn,418,283701,16481,7811687,2021,7
2021-08-01,Brooklyn,390,284091,13932,7825619,2021,8
2021-08-02,Brooklyn,415,284506,15292,7840911,2021,8
2021-08-03,Brooklyn,562,285068,22027,7862938,2021,8
2021-08-04,Brooklyn,591,285659,24664,7887602,2021,8
2021-08-05,Brooklyn,627,286286,24790,7912392,2021,8
2021-08-06,Brooklyn,629,286915,23231,7935623,2021,8
2021-08-07,Brooklyn,569,287484,19721,7955344,2021,8
2021-08-08,Brooklyn,593,288077,19188,7974532,2021,8
2021-08-09,Brooklyn,480,288557,15730,7990262,2021,8
2021-08-10,Brooklyn,637,289194,32085,8022347,2021,8
2021-08-11,Brooklyn,714,289908,27260,8049607,2021,8
2021-08-12,Brooklyn,592,290500,25261,8074868,2021,8
2021-08-13,Brooklyn,666,291166,24464,8099332,2021,8
2021-08-14,Brooklyn,603,291769,23046,8122378,2021,8
2021-08-15,Brooklyn,442,292211,16929,8139307,2021,8
2021-08-16,Brooklyn,474,292685,14340,8153647,2021,8
2021-08-17,Brooklyn,723,293408,26662,8180309,2021,8
2021-08-18,Brooklyn,754,294162,28342,8208651,2021,8
2021-08-19,Brooklyn,667,294829,27352,8236003,2021,8
2021-08-20,Brooklyn,679,295508,28876,8264879,2021,8
2021-08-21,Brooklyn,591,296099,25195,8290074,2021,8
2021-08-22,Brooklyn,473,296572,16100,8306174,2021,8
2021-08-23,Brooklyn,457,297029,14088,8320262,2021,8
2021-08-24,Brooklyn,637,297666,24703,8344965,2021,8
2021-08-25,Brooklyn,746,298412,25521,8370486,2021,8
2021-08-26,Brooklyn,672,299084,25758,8396244,2021,8
2021-08-27,Brooklyn,700,299784,27424,8423668,2021,8
2021-08-28,Brooklyn,509,300293,26424,8450092,2021,8
2021-08-29,Brooklyn,484,300777,16046,8466138,2021,8
2021-08-30,Brooklyn,412,301189,15603,8481741,2021,8
2021-08-31,Brooklyn,594,301783,22427,8504168,2021,8
2021-09-01,Brooklyn,550,302333,24734,8528902,2021,9
2021-09-02,Brooklyn,657,302990,26756,8555658,2021,9
2021-09-03,Brooklyn,555,303545,22833,8578491,2021,9
2021-09-04,Brooklyn,478,304023,22707,8601198,2021,9
2021-09-05,Brooklyn,376,304399,15883,8617081,2021,9
2021-09-06,Brooklyn,299,304698,12082,8629163,2021,9
2021-09-07,Brooklyn,480,305178,17519,8646682,2021,9
2021-09-08,Brooklyn,559,305737,28054,8674736,2021,9
2021-09-09,Brooklyn,590,306327,28279,8703015,2021,9
2021-09-10,Brooklyn,680,307007,33082,8736097,2021,9
2021-09-11,Brooklyn,567,307574,27404,8763501,2021,9
2021-09-12,Brooklyn,458,308032,19733,8783234,2021,9
2021-09-13,Brooklyn,551,308583,16953,8800187,2021,9
2021-09-14,Brooklyn,656,309239,26837,8827024,2021,9
2021-09-15,Brooklyn,700,309939,27387,8854411,2021,9
2021-09-16,Brooklyn,615,310554,31179,8885590,2021,9
2021-09-17,Brooklyn,687,311241,30135,8915725,2021,9
2021-09-18,Brooklyn,628,311869,44987,8960712,2021,9
2021-09-19,Brooklyn,443,312312,20934,8981646,2021,9
2021-09-20,Brooklyn,547,312859,20120,9001766,2021,9
2021-09-21,Brooklyn,598,313457,30982,9032748,2021,9
2021-09-22,Brooklyn,426,313883,27993,9060741,2021,9
2021-09-23,Brooklyn,552,314435,30031,9090772,2021,9
2021-09-24,Brooklyn,525,314960,30893,9121665,2021,9
2021-09-25,Brooklyn,501,315461,28948,9150613,2021,9
2021-09-26,Brooklyn,418,315879,20905,9171518,2021,9
2021-09-27,Brooklyn,529,316408,24363,9195881,2021,9
2021-09-28,Brooklyn,499,316907,29175,9225056,2021,9
2021-09-29,Brooklyn,487,317394,47380,9272436,2021,9
2021-09-30,Brooklyn,385,317779,29694,9302130,2021,9
2021-10-01,Brooklyn,563,318342,40681,9342811,2021,10
2021-10-02,Brooklyn,466,318808,32314,9375125,2021,10
2021-10-03,Brooklyn,487,319295,20951,9396076,2021,10
2021-10-04,Brooklyn,500,319795,23876,9419952,2021,10
2021-10-05,Brooklyn,577,320372,29766,9449718,2021,10
2021-10-06,Brooklyn,648,321020,35405,9485123,2021,10
2021-10-07,Brooklyn,483,321503,33818,9518941,2021,10
2021-10-08,Brooklyn,544,322047,34729,9553670,2021,10
2021-10-09,Brooklyn,246,322293,13735,9567405,2021,10
2021-10-10,Brooklyn,522,322815,35351,9602756,2021,10
2021-10-11,Brooklyn,389,323204,17980,9620736,2021,10
2021-10-12,Brooklyn,561,323765,22801,9643537,2021,10
2021-10-13,Brooklyn,408,324173,35629,9679166,2021,10
2021-10-14,Brooklyn,528,324701,40731,9719897,2021,10
2021-10-15,Brooklyn,509,325210,35868,9755765,2021,10
2021-10-16,Brooklyn,413,325623,41404,9797169,2021,10
2021-10-17,Brooklyn,263,325886,17519,9814688,2021,10
2021-10-18,Brooklyn,480,326366,24330,9839018,2021,10
2021-10-19,Brooklyn,482,326848,30703,9869721,2021,10
2021-10-20,Brooklyn,434,327282,31961,9901682,2021,10
2021-10-21,Brooklyn,348,327630,30472,9932154,2021,10
2021-10-22,Brooklyn,319,327949,28188,9960342,2021,10
2021-10-23,Brooklyn,246,328195,26565,9986907,2021,10
2021-10-24,Brooklyn,261,328456,19833,10006740,2021,10
2021-10-25,Brooklyn,191,328647,13555,10020295,2021,10
2021-10-26,Brooklyn,314,328961,23889,10044184,2021,10
2021-10-27,Brooklyn,438,329399,44802,10088986,2021,10
2021-10-28,Brooklyn,382,329781,34287,10123273,2021,10
2021-10-29,Brooklyn,300,330081,32332,10155605,2021,10
2021-10-30,Brooklyn,301,330382,25879,10181484,2021,10
2021-10-31,Brooklyn,339,330721,28508,10209992,2021,10
2021-11-01,Brooklyn,316,331037,15552,10225544,2021,11
2021-11-02,Brooklyn,349,331386,28643,10254187,2021,11
2021-11-03,Brooklyn,340,331726,27953,10282140,2021,11
2021-11-04,Brooklyn,332,332058,26994,10309134,2021,11
2021-11-05,Brooklyn,421,332479,31257,10340391,2021,11
2021-11-06,Brooklyn,297,332776,25559,10365950,2021,11
2021-11-07,Brooklyn,321,333097,20940,10386890,2021,11
2021-11-08,Brooklyn,311,333408,19337,10406227,2021,11
2021-11-09,Brooklyn,355,333763,23325,10429552,2021,11
2021-11-10,Brooklyn,420,334183,32570,10462122,2021,11
2021-11-11,Brooklyn,404,334587,26722,10488844,2021,11
2021-11-12,Brooklyn,455,335042,29838,10518682,2021,11
2021-11-13,Brooklyn,339,335381,29549,10548231,2021,11
2021-11-14,Brooklyn,395,335776,18131,10566362,2021,11
2021-11-15,Brooklyn,331,336107,16075,10582437,2021,11
2021-11-16,Brooklyn,415,336522,24459,10606896,2021,11
2021-11-17,Brooklyn,450,336972,38036,10644932,2021,11
2021-11-18,Brooklyn,530,337502,26495,10671427,2021,11
2021-11-19,Brooklyn,468,337970,30584,10702011,2021,11
2021-11-20,Brooklyn,420,338390,35347,10737358,2021,11
2021-11-21,Brooklyn,434,338824,20047,10757405,2021,11
2021-11-22,Brooklyn,375,339199,18748,10776153,2021,11
2021-11-23,Brooklyn,471,339670,32021,10808174,2021,11
2021-11-24,Brooklyn,534,340204,39860,10848034,2021,11
2021-11-25,Brooklyn,473,340677,28583,10876617,2021,11
2021-11-26,Brooklyn,398,341075,19883,10896500,2021,11
2021-11-27,Brooklyn,497,341572,27623,10924123,2021,11
2021-11-28,Brooklyn,398,341970,18399,10942522,2021,11
2021-11-29,Brooklyn,430,342400,27561,10970083,2021,11
2021-11-30,Brooklyn,492,342892,27636,10997719,2021,11
2021-12-01,Brooklyn,718,343610,30792,11028511,2021,12
2021-12-02,Brooklyn,716,344326,32953,11061464,2021,12
2020-03-01,Manhattan,0,0,0,0,2020,3
2020-03-02,Manhattan,0,0,0,0,2020,3
2020-03-03,Manhattan,0,0,3,3,2020,3
2020-03-04,Manhattan,1,1,4,7,2020,3
2020-03-05,Manhattan,1,2,18,25,2020,3
2020-03-06,Manhattan,3,5,14,39,2020,3
2020-03-07,Manhattan,0,5,22,61,2020,3
2020-03-08,Manhattan,0,5,24,85,2020,3
2020-03-09,Manhattan,7,12,47,132,2020,3
2020-03-10,Manhattan,12,24,78,210,2020,3
2020-03-11,Manhattan,3,27,70,280,2020,3
2020-03-12,Manhattan,18,45,186,466,2020,3
2020-03-13,Manhattan,39,84,268,734,2020,3
2020-03-14,Manhattan,28,112,193,927,2020,3
2020-03-15,Manhattan,60,172,317,1244,2020,3
2020-03-16,Manhattan,69,241,398,1642,2020,3
2020-03-17,Manhattan,161,402,598,2240,2020,3
2020-03-18,Manhattan,335,737,1074,3314,2020,3
2020-03-19,Manhattan,437,1174,1235,4549,2020,3
2020-03-20,Manhattan,370,1544,1263,5812,2020,3
2020-03-21,Manhattan,522,2066,1370,7182,2020,3
2020-03-22,Manhattan,607,2673,1367,8549,2020,3
2020-03-23,Manhattan,405,3078,990,9539,2020,3
2020-03-24,Manhattan,442,3520,1065,10604,2020,3
2020-03-25,Manhattan,542,4062,1232,11836,2020,3
2020-03-26,Manhattan,523,4585,1062,12898,2020,3
2020-03-27,Manhattan,631,5216,1314,14212,2020,3
2020-03-28,Manhattan,590,5806,1160,15372,2020,3
2020-03-29,Manhattan,422,6228,788,16160,2020,3
2020-03-30,Manhattan,648,6876,1422,17582,2020,3
2020-03-31,Manhattan,497,7373,1015,18597,2020,3
2020-04-01,Manhattan,470,7843,1002,19599,2020,4
2020-04-02,Manhattan,609,8452,1294,20893,2020,4
2020-04-03,Manhattan,848,9300,1820,22713,2020,4
2020-04-04,Manhattan,598,9898,1278,23991,2020,4
2020-04-05,Manhattan,542,10440,1162,25153,2020,4
2020-04-06,Manhattan,572,11012,1249,26402,2020,4
2020-04-07,Manhattan,492,11504,1257,27659,2020,4
2020-04-08,Manhattan,602,12106,1424,29083,2020,4
2020-04-09,Manhattan,616,12722,1659,30742,2020,4
2020-04-10,Manhattan,715,13437,1685,32427,2020,4
2020-04-11,Manhattan,708,14145,1783,34210,2020,4
2020-04-12,Manhattan,356,14501,1033,35243,2020,4
2020-04-13,Manhattan,379,14880,1206,36449,2020,4
2020-04-14,Manhattan,1737,16617,4068,40517,2020,4
2020-04-15,Manhattan,474,17091,1533,42050,2020,4
2020-04-16,Manhattan,399,17490,1476,43526,2020,4
2020-04-17,Manhattan,442,17932,1585,45111,2020,4
2020-04-18,Manhattan,288,18220,1093,46204,2020,4
2020-04-19,Manhattan,248,18468,954,47158,2020,4
2020-04-20,Manhattan,231,18699,1099,48257,2020,4
2020-04-21,Manhattan,326,19025,1430,49687,2020,4
2020-04-22,Manhattan,323,19348,1581,51268,2020,4
2020-04-23,Manhattan,506,19854,2654,53922,2020,4
2020-04-24,Manhattan,426,20280,2110,56032,2020,4
2020-04-25,Manhattan,493,20773,2354,58386,2020,4
2020-04-26,Manhattan,324,21097,2007,60393,2020,4
2020-04-27,Manhattan,215,21312,1650,62043,2020,4
2020-04-28,Manhattan,292,21604,2260,64303,2020,4
2020-04-29,Manhattan,316,21920,2299,66602,2020,4
2020-04-30,Manhattan,255,22175,2205,68807,2020,4
2020-05-01,Manhattan,321,22496,2606,71413,2020,5
2020-05-02,Manhattan,245,22741,2214,73627,2020,5
2020-05-03,Manhattan,159,22900,1524,75151,2020,5
2020-05-04,Manhattan,154,23054,2246,77397,2020,5
2020-05-05,Manhattan,203,23257,2499,79896,2020,5
2020-05-06,Manhattan,272,23529,2966,82862,2020,5
2020-05-07,Manhattan,201,23730,3036,85898,2020,5
2020-05-08,Manhattan,151,23881,2633,88531,2020,5
2020-05-09,Manhattan,96,23977,2336,90867,2020,5
2020-05-10,Manhattan,85,24062,1496,92363,2020,5
2020-05-11,Manhattan,129,24191,1984,94347,2020,5
2020-05-12,Manhattan,157,24348,2825,97172,2020,5
2020-05-13,Manhattan,177,24525,3697,100869,2020,5
2020-05-14,Manhattan,307,24832,3933,104802,2020,5
2020-05-15,Manhattan,150,24982,3469,108271,2020,5
2020-05-16,Manhattan,148,25130,3096,111367,2020,5
2020-05-17,Manhattan,86,25216,2019,113386,2020,5
2020-05-18,Manhattan,77,25293,2830,116216,2020,5
2020-05-19,Manhattan,98,25391,3685,119901,2020,5
2020-05-20,Manhattan,131,25522,4219,124120,2020,5
2020-05-21,Manhattan,150,25672,4363,128483,2020,5
2020-05-22,Manhattan,134,25806,4582,133065,2020,5
2020-05-23,Manhattan,103,25909,4187,137252,2020,5
2020-05-24,Manhattan,100,26009,3356,140608,2020,5
2020-05-25,Manhattan,83,26092,3635,144243,2020,5
2020-05-26,Manhattan,121,26213,3599,147842,2020,5
2020-05-27,Manhattan,134,26347,6888,154730,2020,5
2020-05-28,Manhattan,133,26480,7418,162148,2020,5
2020-05-29,Manhattan,96,26576,5678,167826,2020,5
